doc_id,DEPTH,EQUIPMENT,MEASUREMENT_BAR,MEASUREMENT_DEG,MEASUREMENT_KNM,MEASUREMENT_LPM,MEASUREMENT_M3,MEASUREMENT_MT,MEASUREMENT_RPM,MEASUREMENT_SG,TIME_REF
15_9_19_ST2_1993_04_08.pdf,132,36,0,0,0,0,0,0,12,0,0
15_9_19_ST2_1993_04_09.pdf,60,13,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_04_10.pdf,0,254,55,0,0,0,0,0,0,0,33
15_9_19_ST2_1993_04_11.pdf,36,49,0,0,0,0,0,0,0,0,12
15_9_19_ST2_1993_04_12.pdf,11,88,11,0,0,0,0,0,0,0,11
15_9_19_ST2_1993_04_13.pdf,0,34,33,0,0,0,0,0,0,0,11
15_9_19_ST2_1993_04_14.pdf,11,143,55,0,0,0,0,0,0,0,44
15_9_19_ST2_1993_04_15.pdf,22,69,88,0,0,22,0,0,0,0,86
15_9_19_ST2_1993_04_16.pdf,33,22,88,0,0,0,0,0,0,0,33
15_9_19_ST2_1993_04_17.pdf,44,66,121,0,0,0,0,0,0,0,99
15_9_19_ST2_1993_04_18.pdf,22,0,22,0,0,11,0,0,0,0,44
15_9_19_ST2_1993_04_19.pdf,11,22,11,0,0,0,0,0,0,0,22
15_9_19_ST2_1993_04_20.pdf,40,0,30,0,0,0,0,0,0,0,70
15_9_19_ST2_1993_04_22.pdf,0,13,13,0,0,0,0,0,0,0,19
15_9_19_ST2_1993_04_23.pdf,0,48,12,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_04_24.pdf,0,30,80,0,0,80,0,0,0,50,60
15_9_19_ST2_1993_04_25.pdf,1,12,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1993_04_26.pdf,24,61,0,0,0,0,0,0,0,0,6
15_9_19_ST2_1993_04_27.pdf,73,12,84,0,0,36,0,0,0,0,24
15_9_19_ST2_1993_04_28.pdf,55,36,88,0,0,33,0,0,0,11,33
15_9_19_ST2_1993_04_29.pdf,20,160,70,0,0,40,0,0,0,0,100
15_9_19_ST2_1993_04_30.pdf,48,157,0,0,0,12,0,0,0,0,0
15_9_19_ST2_1997_07_17.pdf,0,1,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1997_07_18.pdf,10,22,0,0,0,0,0,0,0,0,90
15_9_19_ST2_1997_07_19.pdf,1,78,0,0,0,0,0,0,0,0,0
15_9_19_ST2_1997_07_20.pdf,2,114,1,0,0,0,0,0,0,0,0
15_9_19_ST2_1997_07_21.pdf,5,121,12,0,0,0,0,0,0,0,12
15_9_19_ST2_1997_07_22.pdf,65,12,0,0,0,0,0,0,0,12,0
15_9_19_ST2_1997_07_23.pdf,186,1,0,0,0,0,0,0,0,1,0
15_9_19_ST2_1997_07_24.pdf,280,13,1,0,0,0,0,0,0,49,0
15_9_19_ST2_1997_07_25.pdf,61,0,1,0,0,0,0,0,0,0,25
15_9_19_ST2_1997_07_26.pdf,0,0,11,0,0,0,0,0,0,0,11
15_9_19_S_1992_09_14.pdf,0,1,0,0,0,0,0,0,0,0,0
15_9_19_S_1992_09_15.pdf,97,72,0,0,0,0,0,0,0,0,96
15_9_19_S_1992_09_16.pdf,37,49,0,36,0,0,0,0,0,0,0
